B cycling	B mem	B mem activating	B mem exhausted	B mem precursor	Basal	Basal cycling	Brush	Ciliated 1	Ciliated 2	Club	DC activated	DC folicular	DC plasmacytoid	Deuterosomal	Goblet	ILC	Inflamatory epi	Ionocyte	LC	Mac	Mac activated	Mast	Mel	Mono	Neut	NK1	NK2	Plasma IGK	Plasma IGL	Secretory	Squamous	Suprabasal	T naive	Tc effect	Tc mem	Tgd	Th mem	Treg
NP17-NB	446	322	902	89	667	20	18	0	160	8	423	1	17	15	13	661	7	9	1	14	0	4	0	1	8	1	7	4	62	26	672	1	248	150	33	140	16	297	54
NP18-NB	0	1	0	5	6	181	33	6	73	21	168	25	0	7	7	56	2	2	40	11	0	2	2	2	71	7	0	7	0	0	195	22	311	2	1	1	3	0	2
NP18-TB	0	0	0	0	0	44	16	1	244	51	1579	5	0	1	57	61	0	4	47	4	0	0	3	0	23	1	18	16	0	0	69	1	842	35	5	18	0	1	3
NP19-NB	684	387	1086	161	966	55	30	0	30	5	338	0	24	7	67	443	8	9	3	12	0	4	0	1	0	0	10	1	62	21	391	5	199	102	20	60	9	194	34
NP20-NB	0	0	0	0	0	12	15	0	588	145	1366	0	0	5	73	1956	0	13	75	11	0	5	0	0	5	0	6	2	0	0	1166	10	503	2	121	201	69	0	1
NP20-TB	0	0	0	0	0	1	5	0	21	0	46	0	0	0	2	29	0	7	0	0	34	0	0	1	0	0	0	0	0	0	3	6	8	0	0	0	0	0	0
NP21-NB	0	0	0	0	0	3	13	1	250	11	114	0	0	0	19	278	0	16	49	0	0	0	0	0	0	0	0	0	0	0	99	10	64	0	0	0	0	0	0
NP21-TB	0	0	0	0	0	4	13	0	19	1	38	0	0	0	3	24	0	24	2	0	0	0	0	0	0	0	0	0	0	0	52	2	56	0	0	0	0	0	0
NP22-NB	0	0	0	0	0	48	17	0	26	20	25	0	0	0	1	15	0	4	6	0	0	0	13	0	0	0	0	0	0	0	126	0	102	0	0	0	0	0	0
NP22-TB	0	0	0	0	0	13	14	1	266	5	457	0	0	0	7	59	0	10	0	0	0	0	0	0	0	0	0	0	0	0	10	9	308	0	0	0	0	0	0
NP23-NB	0	0	0	0	0	12	13	1	741	226	194	5	0	4	59	686	0	23	20	4	0	2	0	5	0	0	1	0	0	0	344	0	74	2	3	28	8	0	1
NP23-TB	0	0	0	0	0	57	36	1	288	22	442	0	0	0	7	4	0	21	3	3	119	1	0	0	0	0	0	0	0	0	56	2	335	0	0	0	0	0	0
NP24-NB	0	0	0	0	0	399	69	0	120	39	153	0	0	2	1	343	0	68	19	1	0	3	2	0	2	0	0	1	0	0	371	3	694	0	2	48	2	0	1
NP26-NB	0	0	0	0	0	254	33	0	213	34	91	0	0	0	0	17	0	10	16	0	0	0	0	0	0	0	0	0	0	0	186	0	331	0	0	0	0	0	0
NP26-TB	0	0	0	0	0	19	22	0	351	10	86	0	0	0	0	13	0	4	1	0	0	0	0	0	0	0	0	0	0	0	10	5	86	0	0	0	0	0	0
NP27-NB	0	0	0	0	0	131	80	2	298	11	174	0	0	0	52	80	0	56	6	0	0	0	0	0	0	0	0	0	0	0	369	68	513	0	0	0	0	0	0
NP27-TB	0	0	0	0	0	25	8	0	44	6	46	2	0	0	16	8	0	60	1	0	3	2	0	0	3	0	0	0	0	0	34	1	51	0	0	0	0	0	0
NP28-NB	0	0	0	0	0	4	3	2	497	5	68	0	0	0	18	630	1	3	9	0	0	0	0	0	0	0	2	0	0	0	350	2	66	1	65	92	15	3	2
NP28-TB	75	193	53	61	85	29	7	1	1084	42	315	7	0	3	11	207	4	10	15	21	68	10	0	0	7	0	10	0	0	0	84	9	46	56	122	165	29	38	14
NP30-NB	0	0	0	0	0	81	27	0	688	37	270	3	0	0	4	263	0	3	26	3	1	4	0	0	4	0	0	0	0	0	159	3	306	1	5	37	3	0	0
NP31-NB	2	28	5	18	26	197	70	0	53	41	716	0	0	0	41	915	0	16	11	5	0	2	7	2	2	0	0	3	0	0	667	0	428	2	1	44	7	1	0
NP31-TB	26	43	69	105	128	30	8	2	699	68	852	0	0	0	6	113	9	7	0	0	29	11	14	0	6	0	7	1	0	0	146	5	177	10	52	164	10	22	8
NP32-NB	3	0	0	21	0	17	22	0	100	0	108	6	0	0	28	2015	0	216	9	4	0	3	0	0	0	0	0	0	5	2	223	3	192	0	0	0	0	0	0
NP35-NB	4	5	2	7	17	873	75	20	574	197	551	3	0	2	37	582	13	487	64	5	0	1	2	0	7	0	3	0	2	0	812	7	989	55	0	150	2	4	3
NP35-TB	0	2	0	1	22	1	0	0	44	10	10	4	0	1	0	0	0	11	0	0	7	1	0	1	67	0	6	66	0	0	5	0	2	175	0	40	3	0	4
NP36-NB	0	0	0	0	0	266	119	0	62	22	133	14	0	0	49	450	0	192	8	4	1	3	1	2	10	16	5	1	0	0	263	0	514	0	0	3	0	0	4
NP36-TB	0	0	0	0	0	0	0	0	10	5	8	24	0	6	3	6	0	7	3	1	18	0	0	0	45	98	1	0	0	0	4	4	9	1	0	2	0	0	7
NP37-NB	3	15	7	1	3	627	61	4	254	108	403	0	0	3	36	396	1	25	65	5	0	2	0	0	0	0	1	0	0	0	491	0	522	0	11	7	0	1	0
NP37-TB	1	6	1	4	5	22	13	0	120	24	105	2	0	0	0	0	0	4	0	0	74	1	0	0	1	0	0	0	0	0	4	5	112	0	0	0	0	0	0
NP38-NB	0	0	0	0	0	116	17	3	303	130	956	2	0	0	68	569	0	49	71	27	0	0	13	0	0	0	2	0	0	0	1041	2	608	0	13	152	8	0	0
NP38-TB	0	0	0	0	0	1	1	0	194	50	190	0	0	0	5	9	0	39	0	0	0	0	0	0	0	0	0	0	0	0	16	0	13	0	0	0	0	0	0
NP39-NB	0	0	0	0	0	32	6	5	104	74	359	1	0	0	28	43	0	66	101	6	0	1	15	0	0	0	0	0	0	0	355	1	86	0	3	12	2	0	0
NP39-TB	1	3	0	272	49	0	0	2	456	385	204	146	0	7	35	43	1	25	29	11	503	24	23	2	126	0	8	25	2	11	113	5	13	124	46	58	8	0	27
NP41-NB	0	0	0	0	0	0	3	0	17	0	11	4	0	0	0	42	0	10	0	2	0	3	0	0	7	0	0	0	0	0	8	10	11	8	1	3	1	0	0
NP43-NB	0	0	0	0	0	7	55	1	43	3	16	5	0	0	2	24	0	23	16	9	0	18	0	0	41	1	0	3	0	0	46	6	47	5	2	4	0	0	0
NP44-NB_v1.0	0	11	1	34	14	23	3	0	186	9	58	12	0	0	0	269	1	10	4	29	0	14	15	6	32	1	3	6	0	0	56	7	142	10	50	45	2	2	16
NP44-NB_v1.1	0	6	2	25	14	15	2	0	161	23	51	6	0	1	4	227	1	3	3	24	0	5	15	11	23	0	7	4	0	0	42	4	132	9	48	36	0	2	10
NP44-TB	1	8	3	15	8	0	0	0	14	0	7	4	0	0	0	12	2	3	0	2	0	4	1	0	4	1	5	2	0	1	2	1	6	24	50	52	13	0	2
PC11-NB	0	4	0	10	13	20	14	0	61	2	29	7	0	0	1	70	0	22	5	4	0	2	1	0	0	0	2	0	2	2	42	3	62	1	0	5	1	0	1
PC12-NB	0	0	0	0	0	675	61	1	511	90	709	11	0	1	50	358	0	33	145	5	0	1	5	0	1	0	0	0	0	0	709	4	1737	0	2	15	0	0	0
PC2-NB	0	0	0	0	0	0	1	0	39	7	4	0	0	0	1	183	0	12	3	0	0	0	0	0	0	0	1	0	0	0	106	26	60	1	5	17	1	0	1
PC6-NB	0	0	0	0	0	311	98	0	79	32	654	0	0	0	25	602	0	23	39	0	0	0	0	0	0	0	0	0	0	0	886	3	1083	0	0	0	0	0	0
PC9-NB	0	0	0	0	0	0	1	0	7	0	7	5	0	0	0	17	0	6	0	3	0	5	2	0	5	0	0	0	0	0	5	10	8	0	0	0	0	0	0
PP1-NB	0	0	0	0	0	41	70	0	2356	269	378	0	0	2	71	318	1	356	21	10	0	6	3	5	1	0	7	2	0	0	149	1	207	1	37	47	3	0	3
PP1-TB	0	0	0	0	0	6	10	0	7	0	26	20	1	2	17	197	0	20	3	12	1	33	3	2	765	936	0	0	0	0	89	6	78	0	0	0	0	0	0
PP2-NB	0	0	0	0	0	32	24	0	157	2	74	1	0	1	38	384	0	20	24	1	0	6	0	0	2	0	0	0	0	0	188	2	121	0	0	0	0	0	0
PP3-NB	0	0	0	0	0	0	0	0	202	9	1	4	0	0	3	414	0	121	0	5	0	16	0	0	54	18	0	0	0	0	171	11	88	1	4	24	2	0	3
PP4-NB	0	0	0	0	0	2	4	0	127	7	187	0	0	0	42	364	0	130	7	0	0	0	0	0	0	0	0	0	0	0	307	0	81	1	3	15	1	0	0
